residencia_provincia_nombre,1/1/21,1/2/21,1/3/21,1/4/21,1/5/21,1/6/21,1/7/21,1/8/21,1/9/21,1/10/21,1/11/21,1/12/21,1/13/21,1/14/21,1/15/21,1/16/21,1/17/21,1/18/21,1/19/21,1/20/21,1/21/21,1/22/21,1/23/21,1/24/21,1/25/21,1/26/21,1/27/21,1/28/21,1/29/21,1/30/21,1/31/21,2/1/21,2/2/21,2/3/21,2/4/21,2/5/21,2/6/21,2/7/21,2/8/21,2/9/21,2/10/21,2/11/21,2/12/21,2/13/21,2/14/21,2/15/21,2/16/21,2/17/21,2/18/21,2/19/21,2/20/21,2/21/21,2/22/21,2/23/21,2/24/21,2/25/21,2/26/21,2/27/21,2/28/21,3/1/21,3/2/21,3/3/21,3/4/21,3/5/21,3/6/21,3/7/21,3/8/21,3/9/21,3/10/21,3/11/21,3/12/21,3/13/21,3/14/21,3/15/21,3/16/21,3/17/21,3/18/21,3/19/21,3/20/21,3/21/21,3/22/21,3/23/21,3/24/21,3/25/21,3/26/21,3/27/21,3/28/21,3/29/21,3/30/21,3/31/21,4/1/21,4/2/21,4/3/21,4/4/21,4/5/21,4/6/21,4/7/21,4/8/21,4/9/21,4/10/21,4/11/21,4/12/21,4/13/21,4/14/21,4/15/21,4/16/21,4/17/21,4/18/21,4/19/21,4/20/21,4/21/21,4/22/21,4/23/21,4/24/21,4/25/21,4/26/21,4/27/21,4/28/21,4/29/21,4/30/21,5/1/21,5/2/21,5/3/21,5/4/21,5/5/21,5/6/21,5/7/21,5/8/21,5/9/21,5/10/21,5/11/21,5/12/21,5/13/21,5/14/21,5/15/21,5/16/21,5/17/21,5/18/21,5/19/21,5/20/21,5/21/21,5/22/21,5/23/21,5/24/21,5/25/21,5/26/21,5/27/21,5/28/21,5/29/21,5/30/21,5/31/21,6/1/21,6/2/21,6/3/21,6/4/21,6/5/21,6/6/21,6/7/21,6/8/21,6/9/21,6/10/21,6/11/21
Buenos Aires,3126,7555,5240,12409,14163,14520,14169,14525,12011,6432,13098,13676,14426,14013,14310,10815,6017,13304,14602,13968,13473,12334,9739,4910,12038,12298,12466,11958,12562,10162,6735,12591,13928,13414,12681,12246,8247,4900,11284,12138,12368,11871,11656,8730,4870,7156,6818,12744,12549,12275,8658,5785,11515,11831,11533,10932,10698,7756,5148,10373,10928,10510,10539,10123,7579,4120,9750,10708,10958,11011,11792,8410,4785,11648,11908,12088,11377,12319,8962,4831,12639,14247,8926,14110,15684,12131,6730,15989,17792,18108,16365,12811,14354,10915,22260,24942,27578,27221,25732,20414,12487,25391,27348,25763,28254,29019,19246,14001,26338,28101,25211,25716,26011,16136,10440,23663,23686,22793,23760,21285,13928,9043,22580,23279,22553,20303,20369,14027,7861,21398,21900,20301,22076,23039,16523,9907,26863,28924,29272,29304,26976,16418,9469,18500,14728,26764,26642,26967,17839,9706,24971,25160,23409,24021,23525,14778,7756,22828,21791,20545,18315,6498
CABA,1613,5916,8647,10822,11446,11155,9238,8993,8334,7644,9890,8793,9827,9407,12522,11818,11211,13544,13798,12467,10346,9626,8936,9790,13283,11597,10736,9198,12078,13593,17904,17570,16503,13913,9961,8844,9127,9189,13752,12477,10754,10035,10141,10977,10940,13598,15543,15681,13335,12387,10548,10471,12246,10984,9778,8634,8886,9079,11591,8828,8616,7821,7555,8197,6171,6609,9319,9109,8431,7242,8862,7365,7663,9789,9071,8445,7276,8165,6424,6581,9474,8940,7081,9087,9652,7878,7343,9600,9130,9383,9007,8326,9009,13222,17439,16377,16567,15093,10426,10522,9297,11461,11294,8263,12482,12477,10042,9190,12165,11657,9790,11262,11675,4976,8099,10628,10605,9515,11915,8186,7600,7637,11570,11511,10035,10257,11432,6540,6169,9985,9821,8591,8046,10644,9164,7058,13205,12923,13277,14277,12262,7431,6082,9581,8760,11729,9431,11389,7304,6019,9856,9321,9155,10052,10350,6255,5786,9798,9039,8911,8217,1018
Catamarca,20,289,333,296,296,371,338,322,381,205,350,341,339,437,401,253,209,365,360,381,281,303,245,189,318,285,327,369,356,288,305,433,387,456,404,379,303,333,395,367,391,380,374,286,297,218,226,350,377,332,276,276,334,312,365,451,424,341,302,407,374,408,331,330,258,250,342,313,314,353,357,249,259,365,396,412,374,374,331,296,418,283,254,369,397,281,217,368,317,424,365,237,268,249,477,458,493,457,541,455,409,545,474,519,483,599,422,375,559,568,500,521,431,353,310,417,499,438,595,435,259,232,399,447,427,456,410,403,259,538,488,593,520,521,555,424,704,672,767,800,932,792,618,641,632,711,888,766,701,589,1006,740,798,807,785,743,533,763,878,661,560,90
Chaco,324,644,382,935,1009,1239,1080,973,827,291,971,964,942,1141,889,729,223,692,716,967,850,907,714,186,650,630,730,755,996,691,184,796,755,794,912,1109,835,340,881,1090,1206,1291,1392,832,371,446,386,880,1109,1269,823,414,1019,966,1025,1199,940,683,391,563,731,878,881,1102,694,285,493,801,781,794,851,565,308,636,812,849,743,1006,719,283,600,866,596,767,1104,573,347,758,893,1206,932,462,505,406,1205,1029,1148,1185,1506,885,734,878,1267,1302,1310,1623,929,475,1024,1422,1121,1044,1200,822,400,840,1250,1146,1146,1128,607,431,967,1190,1241,1272,1259,706,352,774,1250,1346,1500,1368,759,280,1170,1346,1804,1528,2104,1306,595,1565,817,1998,2008,2174,1002,613,1417,1715,2038,1620,1780,1051,354,1252,1461,1543,1319,283
Chubut,70,419,195,1116,829,999,673,897,316,299,1111,612,970,684,726,428,208,770,611,646,542,569,242,104,668,521,607,483,516,319,127,703,559,527,475,482,281,108,523,586,495,440,430,285,53,166,138,585,406,537,252,87,559,377,461,399,384,150,129,505,458,428,305,375,285,57,391,417,385,453,405,195,98,481,349,452,324,457,129,76,455,522,141,428,468,201,98,663,456,558,250,143,160,131,646,569,612,565,514,162,131,812,595,657,513,577,322,169,835,626,702,627,557,217,113,771,648,755,627,484,162,149,847,598,672,585,530,247,97,767,593,695,595,661,365,111,935,781,768,693,906,374,201,515,397,1069,797,942,352,174,855,936,948,559,841,275,134,732,564,612,457,156
Corrientes,124,818,483,1074,1338,1252,1123,1453,1056,478,1083,1261,1309,1383,1089,904,442,955,1024,1094,980,975,717,272,882,703,932,997,935,582,267,305,1042,1066,1181,964,677,294,1239,1135,1062,1249,1235,881,359,513,645,978,903,1224,600,224,1130,795,1123,1016,882,413,304,1120,854,1087,899,997,808,475,825,1117,1147,1392,1071,999,297,898,962,1031,1506,1273,493,283,1338,868,744,1209,1526,660,821,1489,1653,1656,916,577,232,422,1893,1484,1706,1605,1350,1056,378,1751,1194,1221,1408,1883,973,643,1502,1715,2081,1609,1890,976,427,1414,1229,1225,1310,1274,558,444,1748,1303,1309,1380,1132,1194,723,214,1712,1428,2138,1942,1037,737,3328,422,2873,3253,2960,1203,759,2747,2271,2433,2948,2575,1464,1103,2511,2582,2481,2441,3449,71,1219,3391,2428,2165,192,28
Córdoba,290,2639,911,3857,4947,5614,4894,4647,3634,759,3596,4510,4961,3226,4355,2996,610,3480,3796,3342,4037,4003,2364,489,3372,3074,4406,4425,2128,2584,543,2936,4695,4289,3703,3693,2056,463,3619,5066,6095,5414,5237,3405,743,1818,1824,4239,5815,4265,3594,649,4233,4749,4369,3454,4706,2983,666,3800,4878,4803,4404,4158,2092,525,3750,4300,4616,4965,5044,3105,662,3956,5155,4220,4803,4705,2848,938,4607,5499,1538,5818,6190,3637,1204,4817,6833,7598,5383,2153,2975,1218,6054,9182,8342,8124,7882,7112,1270,6982,8012,8264,7670,7640,4909,1093,8686,8513,7824,5860,7192,3852,1005,7094,7312,6998,8046,6857,3145,1064,7090,6991,6940,6793,6670,3779,1587,8336,8595,8231,8398,9634,5315,1848,12067,11267,8051,8146,11122,7069,2297,8345,6019,10643,12408,11132,7753,2816,9721,12383,10711,10096,10473,5598,2559,10245,8709,8220,7690,883
Entre Ríos,168,701,266,938,888,1072,1019,1063,717,266,902,1039,894,754,957,633,311,720,953,728,734,738,365,418,640,597,464,617,628,388,197,540,639,337,509,551,400,102,475,440,495,440,496,391,138,224,268,496,471,477,328,241,423,441,475,444,458,332,130,358,497,410,390,366,371,71,330,423,381,400,483,374,93,412,416,433,389,429,365,63,365,439,318,512,590,397,92,508,546,704,583,151,483,159,675,839,824,780,1139,496,168,973,907,820,767,1035,537,131,1080,976,977,744,1156,634,123,967,1042,986,970,825,621,103,975,1135,1067,937,893,636,75,949,1104,949,1055,1096,806,155,1183,1426,1433,1372,1560,1186,221,1019,469,1616,1748,1560,937,263,1414,1525,1466,1443,1315,889,253,1324,1293,1043,1080,287
Formosa,87,238,314,405,304,512,476,252,142,110,303,403,776,1678,1318,886,676,870,879,871,865,822,467,314,704,1011,1189,1608,1595,562,508,1095,713,380,174,106,96,64,87,114,96,836,1245,1168,865,1111,1042,1138,1763,1784,919,585,1189,1195,791,740,1062,503,591,838,737,905,829,1061,544,539,557,684,923,1110,945,805,414,992,769,844,1249,1236,947,554,926,1100,975,1054,1375,1303,1012,1446,1659,1282,1741,2171,2436,2152,3989,4616,3678,2743,4928,3079,2579,4089,2985,2493,4081,3089,1797,1305,1849,1093,1017,1317,1584,990,654,1463,1393,1300,1884,2412,1610,1255,2370,2342,2828,2334,2672,1386,1742,2097,2437,2057,2595,2454,1941,1427,3034,4001,1341,2168,2640,1993,1541,1921,1831,2237,2588,2575,1597,1183,1904,1792,1808,1563,2243,1719,1338,2255,2298,2212,1309,595
Jujuy,13,115,84,209,170,233,209,214,158,54,167,191,194,235,144,195,135,129,235,218,231,215,176,50,176,213,228,179,155,73,173,135,265,206,197,251,118,104,159,218,203,180,237,189,105,110,149,178,263,364,213,98,267,343,409,348,288,280,171,386,379,360,310,316,219,119,259,331,347,292,418,256,93,180,346,323,229,294,173,112,174,293,251,156,264,242,95,188,292,285,236,164,166,123,273,330,367,430,312,301,128,251,499,489,669,541,372,219,475,561,527,571,481,417,233,443,555,514,527,466,313,226,492,528,565,511,611,384,224,443,482,478,460,478,347,177,549,526,570,679,624,499,341,424,307,608,808,864,554,261,743,881,893,964,1094,657,462,863,951,995,1133,415
