residencia_provincia_nombre,1/1/21,1/2/21,1/3/21,1/4/21,1/5/21,1/6/21,1/7/21,1/8/21,1/9/21,1/10/21,1/11/21,1/12/21,1/13/21,1/14/21,1/15/21,1/16/21,1/17/21,1/18/21,1/19/21,1/20/21,1/21/21,1/22/21,1/23/21,1/24/21,1/25/21,1/26/21,1/27/21,1/28/21,1/29/21,1/30/21,1/31/21,2/1/21,2/2/21,2/3/21,2/4/21,2/5/21,2/6/21,2/7/21,2/8/21,2/9/21,2/10/21,2/11/21,2/12/21,2/13/21,2/14/21,2/15/21,2/16/21,2/17/21,2/18/21,2/19/21,2/20/21,2/21/21,2/22/21,2/23/21,2/24/21,2/25/21,2/26/21,2/27/21,2/28/21,3/1/21,3/2/21,3/3/21,3/4/21,3/5/21,3/6/21,3/7/21,3/8/21,3/9/21,3/10/21,3/11/21,3/12/21,3/13/21,3/14/21,3/15/21,3/16/21,3/17/21,3/18/21,3/19/21,3/20/21,3/21/21,3/22/21,3/23/21,3/24/21,3/25/21,3/26/21,3/27/21,3/28/21,3/29/21,3/30/21,3/31/21,4/1/21,4/2/21,4/3/21,4/4/21,4/5/21,4/6/21,4/7/21,4/8/21,4/9/21,4/10/21,4/11/21,4/12/21,4/13/21,4/14/21,4/15/21,4/16/21,4/17/21,4/18/21,4/19/21,4/20/21,4/21/21,4/22/21,4/23/21,4/24/21,4/25/21,4/26/21,4/27/21,4/28/21,4/29/21,4/30/21,5/1/21,5/2/21,5/3/21,5/4/21,5/5/21,5/6/21,5/7/21,5/8/21,5/9/21,5/10/21,5/11/21,5/12/21,5/13/21,5/14/21,5/15/21,5/16/21,5/17/21,5/18/21,5/19/21,5/20/21,5/21/21,5/22/21,5/23/21,5/24/21,5/25/21,5/26/21,5/27/21,5/28/21,5/29/21,5/30/21,5/31/21,6/1/21,6/2/21,6/3/21,6/4/21,6/5/21,6/6/21,6/7/21,6/8/21,6/9/21,6/10/21,6/11/21
Buenos Aires,76.0,110.0,84.0,97.0,96.0,74.0,94.0,86.0,89.0,96.0,99.0,95.0,76.0,93.0,101.0,95.0,86.0,100.0,94.0,109.0,125.0,111.0,94.0,119.0,99.0,110.0,107.0,109.0,89.0,104.0,76.0,98.0,84.0,78.0,98.0,92.0,86.0,88.0,74.0,82.0,87.0,91.0,80.0,80.0,82.0,86.0,67.0,83.0,98.0,85.0,68.0,81.0,82.0,79.0,67.0,86.0,66.0,81.0,69.0,84.0,92.0,76.0,75.0,77.0,70.0,75.0,70.0,76.0,92.0,75.0,89.0,71.0,68.0,100.0,60.0,76.0,74.0,86.0,83.0,72.0,96.0,86.0,107.0,92.0,86.0,89.0,93.0,100.0,93.0,104.0,95.0,114.0,127.0,123.0,130.0,144.0,152.0,137.0,143.0,181.0,136.0,171.0,189.0,197.0,204.0,247.0,239.0,253.0,268.0,249.0,298.0,274.0,317.0,279.0,291.0,294.0,276.0,280.0,251.0,263.0,308.0,300.0,287.0,252.0,257.0,270.0,277.0,307.0,267.0,268.0,262.0,266.0,267.0,278.0,240.0,232.0,294.0,272.0,241.0,285.0,234.0,257.0,248.0,250.0,281.0,295.0,288.0,282.0,243.0,290.0,290.0,267.0,138.0,121.0,108.0,89.0,78.0,116.0,113.0,68.0,79.0,19.0
CABA,13.0,19.0,16.0,15.0,18.0,16.0,14.0,17.0,21.0,15.0,14.0,16.0,22.0,10.0,23.0,20.0,22.0,20.0,19.0,31.0,21.0,20.0,27.0,26.0,26.0,26.0,20.0,18.0,14.0,24.0,23.0,18.0,23.0,18.0,23.0,24.0,30.0,22.0,17.0,17.0,25.0,15.0,16.0,31.0,16.0,19.0,21.0,18.0,17.0,22.0,20.0,18.0,21.0,24.0,15.0,18.0,22.0,11.0,17.0,10.0,17.0,15.0,16.0,9.0,13.0,19.0,19.0,19.0,16.0,16.0,14.0,14.0,21.0,14.0,14.0,16.0,19.0,18.0,16.0,15.0,32.0,23.0,10.0,20.0,15.0,11.0,13.0,27.0,17.0,26.0,12.0,28.0,21.0,24.0,27.0,25.0,28.0,31.0,20.0,35.0,30.0,40.0,37.0,35.0,37.0,38.0,36.0,39.0,56.0,46.0,52.0,58.0,51.0,46.0,46.0,60.0,72.0,59.0,57.0,60.0,57.0,43.0,75.0,44.0,57.0,49.0,53.0,48.0,50.0,46.0,50.0,54.0,55.0,60.0,46.0,58.0,43.0,60.0,44.0,32.0,57.0,42.0,53.0,46.0,56.0,53.0,54.0,55.0,60.0,41.0,51.0,44.0,38.0,35.0,30.0,25.0,32.0,33.0,28.0,30.0,19.0,4.0
Catamarca,1.0,,,,1.0,1.0,,,,,,,,,,,,1.0,2.0,,,1.0,1.0,2.0,3.0,1.0,2.0,2.0,,,,,,,,1.0,2.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,2.0,,1.0,1.0,,,,,,1.0,,,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,2.0,,1.0,2.0,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,2.0,5.0,,3.0,,1.0,2.0,,3.0,,1.0,2.0,1.0,1.0,4.0,,,1.0,3.0,,1.0,1.0,2.0,2.0,3.0,,1.0,1.0,2.0,1.0,4.0,1.0,,4.0,2.0,3.0,1.0,3.0,7.0,3.0,6.0,2.0,2.0,1.0,3.0,6.0,5.0,6.0,2.0,,1.0,5.0,3.0,4.0,7.0,4.0,2.0,4.0,7.0,4.0,7.0,5.0,,
Chaco,8.0,3.0,5.0,2.0,6.0,2.0,4.0,3.0,,5.0,8.0,6.0,6.0,3.0,4.0,6.0,7.0,,3.0,3.0,2.0,3.0,2.0,6.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,6.0,4.0,8.0,1.0,3.0,2.0,2.0,4.0,,4.0,6.0,3.0,2.0,1.0,2.0,,4.0,3.0,4.0,2.0,1.0,,3.0,1.0,3.0,2.0,1.0,1.0,6.0,1.0,1.0,,4.0,5.0,2.0,4.0,2.0,,,2.0,4.0,,1.0,6.0,6.0,4.0,2.0,3.0,3.0,4.0,1.0,7.0,4.0,2.0,2.0,4.0,5.0,2.0,4.0,4.0,,8.0,10.0,,4.0,6.0,4.0,2.0,2.0,4.0,5.0,2.0,3.0,3.0,3.0,9.0,5.0,2.0,4.0,2.0,5.0,13.0,3.0,4.0,4.0,10.0,6.0,1.0,4.0,3.0,2.0,4.0,5.0,5.0,8.0,4.0,3.0,6.0,6.0,6.0,7.0,4.0,11.0,13.0,6.0,5.0,9.0,2.0,14.0,8.0,8.0,8.0,10.0,10.0,13.0,12.0,14.0,20.0,16.0,16.0,13.0,9.0,17.0,12.0,16.0,6.0,3.0
Chubut,5.0,10.0,9.0,6.0,3.0,5.0,5.0,10.0,6.0,8.0,10.0,6.0,10.0,6.0,5.0,2.0,2.0,11.0,4.0,4.0,10.0,4.0,10.0,11.0,12.0,6.0,7.0,4.0,7.0,6.0,4.0,8.0,4.0,5.0,7.0,3.0,5.0,5.0,3.0,4.0,3.0,2.0,3.0,5.0,4.0,4.0,1.0,4.0,1.0,5.0,2.0,4.0,1.0,6.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,,,4.0,2.0,2.0,2.0,4.0,2.0,6.0,3.0,3.0,2.0,2.0,3.0,3.0,,,,1.0,1.0,,1.0,3.0,2.0,4.0,3.0,2.0,1.0,,2.0,,1.0,2.0,1.0,1.0,2.0,1.0,,3.0,2.0,1.0,,,3.0,3.0,2.0,2.0,1.0,3.0,,3.0,3.0,,3.0,5.0,3.0,2.0,2.0,3.0,4.0,2.0,1.0,5.0,3.0,4.0,3.0,2.0,3.0,2.0,5.0,3.0,1.0,2.0,2.0,3.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,4.0,5.0,2.0,5.0,4.0,5.0,1.0,6.0,5.0,7.0,3.0,3.0,7.0,7.0,4.0,1.0,
Corrientes,8.0,4.0,1.0,4.0,5.0,1.0,3.0,2.0,1.0,,1.0,2.0,1.0,1.0,3.0,6.0,3.0,2.0,1.0,1.0,2.0,,,1.0,,1.0,4.0,3.0,2.0,4.0,2.0,3.0,6.0,6.0,3.0,5.0,1.0,4.0,5.0,2.0,5.0,,,4.0,2.0,1.0,,,,,,2.0,,5.0,3.0,3.0,1.0,1.0,4.0,,2.0,3.0,1.0,4.0,1.0,,3.0,1.0,,5.0,4.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,5.0,4.0,3.0,1.0,7.0,3.0,2.0,2.0,3.0,2.0,5.0,5.0,5.0,7.0,6.0,7.0,3.0,2.0,2.0,3.0,1.0,6.0,4.0,6.0,2.0,4.0,3.0,4.0,6.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,5.0,5.0,6.0,4.0,5.0,3.0,2.0,3.0,4.0,3.0,,6.0,5.0,5.0,3.0,6.0,8.0,5.0,6.0,1.0,3.0,4.0,6.0,4.0,7.0,1.0,1.0,6.0,10.0,7.0,5.0,8.0,5.0,9.0,8.0,1.0,,,,,,,1.0
Córdoba,7.0,4.0,10.0,5.0,2.0,3.0,7.0,3.0,4.0,8.0,8.0,14.0,8.0,5.0,12.0,3.0,7.0,7.0,8.0,8.0,9.0,14.0,6.0,12.0,11.0,10.0,9.0,10.0,10.0,9.0,2.0,6.0,12.0,8.0,5.0,5.0,6.0,4.0,,9.0,2.0,8.0,8.0,6.0,7.0,3.0,4.0,9.0,8.0,10.0,7.0,6.0,14.0,9.0,8.0,8.0,3.0,6.0,9.0,10.0,6.0,6.0,11.0,14.0,3.0,8.0,7.0,10.0,4.0,7.0,9.0,4.0,5.0,6.0,9.0,9.0,6.0,6.0,4.0,4.0,5.0,9.0,6.0,14.0,5.0,4.0,3.0,13.0,3.0,13.0,10.0,17.0,11.0,8.0,7.0,8.0,6.0,16.0,10.0,10.0,12.0,17.0,19.0,16.0,8.0,20.0,16.0,16.0,23.0,13.0,19.0,16.0,23.0,14.0,12.0,18.0,22.0,24.0,20.0,23.0,19.0,24.0,24.0,19.0,16.0,15.0,14.0,14.0,8.0,16.0,14.0,17.0,11.0,16.0,17.0,22.0,23.0,29.0,26.0,25.0,26.0,26.0,30.0,22.0,30.0,36.0,57.0,22.0,33.0,28.0,43.0,36.0,32.0,36.0,33.0,32.0,35.0,42.0,37.0,35.0,19.0,12.0
Entre Ríos,1.0,6.0,6.0,2.0,8.0,5.0,9.0,7.0,10.0,4.0,5.0,9.0,5.0,7.0,9.0,6.0,9.0,6.0,11.0,11.0,7.0,7.0,6.0,10.0,7.0,11.0,6.0,7.0,11.0,6.0,9.0,8.0,6.0,3.0,7.0,9.0,4.0,6.0,6.0,4.0,1.0,5.0,2.0,3.0,2.0,5.0,5.0,3.0,4.0,5.0,2.0,5.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,1.0,5.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,,3.0,4.0,2.0,1.0,6.0,2.0,1.0,4.0,1.0,2.0,4.0,,2.0,1.0,1.0,,5.0,1.0,2.0,1.0,2.0,,2.0,,4.0,3.0,5.0,2.0,4.0,2.0,6.0,2.0,4.0,2.0,3.0,3.0,8.0,6.0,3.0,9.0,4.0,1.0,3.0,5.0,4.0,3.0,10.0,7.0,8.0,4.0,4.0,5.0,8.0,6.0,8.0,6.0,6.0,4.0,10.0,4.0,6.0,10.0,9.0,7.0,11.0,8.0,12.0,13.0,13.0,13.0,7.0,16.0,10.0,19.0,12.0,7.0,10.0,16.0,6.0,9.0,7.0,11.0,16.0,27.0,11.0,11.0,17.0,10.0,5.0,5.0
Formosa,,,,,,,1.0,,,2.0,,,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,,2.0,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,2.0,,2.0,,3.0,,,2.0,1.0,3.0,3.0,2.0,,3.0,3.0,,3.0,1.0,1.0,1.0,6.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,4.0,1.0,5.0,4.0,2.0,4.0,7.0,7.0,5.0,,2.0,7.0,7.0,4.0,4.0,2.0,10.0,8.0,11.0,9.0,4.0,8.0,2.0,8.0,17.0,24.0,5.0,10.0,15.0,23.0,20.0,16.0,8.0,11.0,2.0,8.0,25.0,9.0,12.0,9.0,20.0,14.0,14.0,13.0,18.0,6.0,8.0,17.0,11.0,15.0,10.0,8.0,17.0,7.0,18.0,5.0
Jujuy,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,2.0,,1.0,3.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,3.0,,,1.0,,1.0,1.0,,3.0,1.0,,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,1.0,1.0,,3.0,,1.0,1.0,5.0,4.0,4.0,,4.0,1.0,2.0,3.0,3.0,7.0,,1.0,3.0,1.0,,4.0,,2.0,4.0,3.0,3.0,,2.0,1.0,1.0,1.0,,4.0,,3.0,3.0,,3.0,2.0,,,1.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,4.0,1.0,1.0,3.0,,6.0,2.0,,,4.0,2.0,3.0,,3.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,1.0,,3.0,,2.0,2.0,,1.0,3.0,,,2.0,,,,,,,7.0,1.0,,,,,,
